ORI,year,department_name,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum,months_reported,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,source,url
TX22012,2009,"Fort Worth, Texas",723456,4245,44,379,1449,2373,12,586.7668524,6.081917905,52.38742923,200.2886146,328.0088907,NA,NA
TX22012,2010,"Fort Worth, Texas",741206,4301,63,325,1330,2583,12,580.2705321,8.499661363,43.84745941,179.4372954,348.4861159,NA,NA
TX22012,2011,"Fort Worth, Texas",756803,4579,51,354,1267,2907,12,605.0451703,6.738873921,46.7757131,167.4147698,384.1158135,NA,NA
TX22012,2012,"Fort Worth, Texas",770101,4526,46,391,1280,2809,12,587.7151179,5.973242471,50.772561,166.2119644,364.75735,NA,NA
TX22012,2013,"Fort Worth, Texas",789035,4440,49,532,1257,2602,12,562.7126807,6.210117422,67.42413201,159.3085224,329.7699088,NA,NA
TX22012,2014,"Fort Worth, Texas",804907,4492,53,570,1140,2729,12,558.0768958,6.584611638,70.8156346,141.6312692,339.0453804,NA,NA
TX22012,2015,"Fort Worth, Texas",829731,4359,56,516,981,2806,NA,525.3509872,6.749175335,62.18882987,118.2310894,338.1818927,Crime in the U.S. 2015,https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-8/table_8_offenses_known_to_law_enforcement_by_state_by_city_2015.xls
TX22701,1975,"Austin, Texas",300400,1215,33,190,529,463,12,404.460719,10.98535286,63.24900133,176.0985353,154.1278296,NA,NA
TX22701,1976,"Austin, Texas",284908,1202,24,181,518,479,12,421.8905752,8.423771884,63.52927963,181.8130765,168.1244472,NA,NA
TX22701,1977,"Austin, Texas",321900,1260,33,187,512,528,12,391.4259087,10.25163094,58.09257533,159.0556073,164.0260951,NA,NA
TX22701,1978,"Austin, Texas",331557,1413,35,194,635,549,12,426.1710656,10.55625428,58.51180943,191.5206133,165.5823885,NA,NA
TX22701,1979,"Austin, Texas",337727,1495,43,216,577,659,12,442.6652296,12.73217717,63.95698301,170.8480518,195.1280176,NA,NA
TX22701,1980,"Austin, Texas",343425,1723,43,237,678,765,12,501.7107083,12.52092888,69.01070103,197.4230181,222.7560603,NA,NA
TX22701,1981,"Austin, Texas",357607,1545,39,263,669,574,12,432.0385227,10.90582679,73.54442167,187.0768749,160.5113994,NA,NA
TX22701,1982,"Austin, Texas",370331,1532,57,235,635,605,12,413.6839746,15.39163613,63.45674545,171.4682271,163.367366,NA,NA
TX22701,1983,"Austin, Texas",381091,1534,58,240,665,571,12,402.5285299,15.21946202,62.97708421,174.4990042,149.8329795,NA,NA
TX22701,1984,"Austin, Texas",385237,1648,59,264,768,557,12,427.7886081,15.3152475,68.52924304,199.3577979,144.5863196,NA,NA
TX22701,1985,"Austin, Texas",406469,2363,52,489,1076,746,12,581.3481471,12.79310353,120.3043775,264.7188346,183.5318315,NA,NA
TX22701,1986,"Austin, Texas",414220,2667,48,388,1124,1107,12,643.8607503,11.588045,93.67003042,271.3533871,267.2492878,NA,NA
TX22701,1987,"Austin, Texas",469542,2313,39,284,985,1005,12,492.60769,8.305966239,60.4844721,209.7788909,214.0383608,NA,NA
TX22701,1988,"Austin, Texas",467423,2508,43,247,1018,1200,12,536.5589627,9.199376154,52.84292814,217.789882,256.7267764,NA,NA
TX22701,1989,"Austin, Texas",468907,2605,31,235,1019,1320,12,555.547262,6.611119049,50.11654763,217.313881,281.5057144,NA,NA
TX22701,1990,"Austin, Texas",465622,3326,46,280,1461,1539,12,714.3133271,9.879258282,60.13461563,313.7738337,330.5256195,NA,NA
TX22701,1991,"Austin, Texas",475558,2968,49,276,1555,1088,12,624.1089415,10.30368535,58.03708486,326.9843005,228.7838707,NA,NA
TX22701,1992,"Austin, Texas",483975,2850,37,294,1450,1069,12,588.8733922,7.645022987,60.74693941,299.6022522,220.8791776,NA,NA
TX22701,1993,"Austin, Texas",502018,3011,37,271,1555,1148,12,599.7792908,7.370253656,53.98212813,309.7498496,228.6770594,NA,NA
TX22701,1994,"Austin, Texas",511676,3249,37,249,1542,1421,12,634.9721308,7.231138455,48.66360744,301.362581,277.7148039,NA,NA
TX22701,1995,"Austin, Texas",523691,4050,46,308,1336,2360,12,773.3568077,8.783805717,58.81330785,255.1122704,450.6474238,NA,NA
TX22701,1996,"Austin, Texas",537484,3821,40,270,1376,2135,12,710.9048827,7.442081997,50.23405348,256.0076207,397.2211266,NA,NA
TX22701,1997,"Austin, Texas",546223,3527,40,283,1284,1920,12,645.7069732,7.323016424,51.8103412,235.0688272,351.5047883,NA,NA
